doy,date,solar_zenith_angle,solar_azimuth_angle,viewing_zenith_angle,viewing_azimuth_angle
142,2021-05-22,33.65777207473113,151.1497939046773,0.0,0.0
150,2021-05-30,32.3727108735687,149.95426297235454,0.0,0.0
150,2021-05-30,31.993422658128736,152.01610035941465,0.0,0.0
152,2021-06-01,32.1168364530453,149.65090116956688,0.0,0.0
152,2021-06-01,31.73397860759308,151.72045962309022,0.0,0.0
155,2021-06-04,31.783057237532905,149.19955527109613,0.0,0.0
155,2021-06-04,31.3948965140058,151.27868100701144,0.0,0.0
157,2021-06-06,31.59410233722072,148.9038644119924,0.0,0.0
157,2021-06-06,31.20247290242456,150.98800012729768,0.0,0.0
160,2021-06-09,31.3612072891555,148.47296914890657,0.0,0.0
160,2021-06-09,30.964530604890836,150.56254973691236,0.0,0.0
162,2021-06-11,31.239648652108063,148.19698133648646,0.0,0.0
162,2021-06-11,30.839743642344466,150.28881650439428,0.0,0.0
165,2021-06-14,31.107726187290012,147.80475853445398,0.0,0.0
165,2021-06-14,30.70323830882757,149.89794588917877,0.0,0.0
167,2021-06-16,31.05321299165027,147.56053942735977,0.0,0.0
167,2021-06-16,30.64587380283801,149.6533084034258,0.0,0.0
177,2021-06-26,31.17366212203511,146.61122300791573,0.0,0.0
177,2021-06-26,30.755224702649397,148.687416974774,0.0,0.0
180,2021-06-29,31.333738594331624,146.43266748635494,0.0,0.0
180,2021-06-29,30.913192401558394,148.4997466559116,0.0,0.0
187,2021-07-06,31.918007793792697,146.23812075550495,0.0,0.0
190,2021-07-09,32.25490242914987,146.25495950450207,0.0,0.0
192,2021-07-11,32.50707506342564,146.30038546781552,0.0,0.0
200,2021-07-19,33.724982726869484,146.75440151195255,0.0,0.0
202,2021-07-21,34.07909789074532,146.9344179013628,0.0,0.0
202,2021-07-21,33.66373817720164,148.89666282758085,0.0,0.0
207,2021-07-26,35.04542563592149,147.49469434937618,0.0,0.0
210,2021-07-29,35.67816860333572,147.9025166869361,0.0,0.0
210,2021-07-29,35.27378389975419,149.81688349888816,0.0,0.0
215,2021-08-03,36.81542885808839,148.6915281655721,0.0,0.0
217,2021-08-05,37.29782072823796,149.04231290618085,0.0,0.0
220,2021-08-08,38.049346181594544,149.602626840726,0.0,0.0
222,2021-08-10,38.56830106631003,149.99717836895087,0.0,0.0
227,2021-08-15,39.92512665245917,151.0480073928566,0.0,0.0
237,2021-08-25,42.870069116433385,153.357131236083,0.0,0.0
240,2021-08-28,43.8074010504881,154.08454917778164,0.0,0.0
245,2021-09-02,45.41845224081206,155.31276769215165,0.0,0.0
245,2021-09-02,45.10233086909987,156.99674124213638,0.0,0.0
247,2021-09-04,46.07869778767788,155.8058453873696,0.0,0.0
247,2021-09-04,45.7686577151669,157.47616682152554,0.0,0.0
250,2021-09-07,47.08462879525471,156.54344527836432,0.0,0.0
252,2021-09-09,47.76495275427473,157.03204885538852,0.0,0.0
252,2021-09-09,47.47013036034726,158.66820776991756,0.0,0.0
255,2021-09-12,48.79880191554387,157.75728743486013,0.0,0.0
260,2021-09-17,50.55333766122013,158.93611169662577,0.0,0.0
260,2021-09-17,50.282393824075825,160.51777885685598,0.0,0.0
262,2021-09-19,51.26461903258229,159.39402589152735,0.0,0.0
262,2021-09-19,50.999459381607956,160.96215797265657,0.0,0.0
267,2021-09-24,53.06153179443564,160.49601828898128,0.0,0.0
267,2021-09-24,52.81035223206239,162.0305717738368,0.0,0.0
272,2021-09-29,54.87748945971073,161.52561960390375,0.0,0.0
272,2021-09-29,54.63944200093823,163.02709181352293,0.0,0.0
